painting,paintingLabel,creator,width,height,inception
http://www.wikidata.org/entity/Q3937389,Portrait of a young man,http://www.wikidata.org/entity/Q8459,0.46,0.58,
http://www.wikidata.org/entity/Q3794238,Q3794238,http://www.wikidata.org/entity/Q82445,0.51,0.61,1882-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937400,Portrait of a Man,http://www.wikidata.org/entity/Q312616,0.3112,0.4382,1475-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3937399,Portrait of a Man,http://www.wikidata.org/entity/Q310973,0.98,1.15,1545-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3822931,La madre profuga,http://www.wikidata.org/entity/Q3745137,0.96,0.91,1918-01-01T00:00:00Z
